,Topic,Count,Name,Representation,Representative_Docs
14,13,63,13_bodd_orderedring_ring_1tonat,"['bodd', 'orderedring', 'ring', '1tonat', 'mulposofnegofneg', 'negposofneg', 'intcastne', 'negdivofdvd', 'nonposofnegnonneg', 'ofinteqcast']","[""theorem int_cast_ne {α} [ring α] [char_zero α] (a b : ℤ) (a' b' : α)\n  (ha : ↑a = a') (hb : ↑b = b') (h : a ≠ b) : a' ≠ b'"", 'lemma bodd_mul (m n : ℤ) : bodd (m * n) = bodd m && bodd n', 'lemma bodd_neg (n : ℤ) : bodd (-n) = bodd n']"
15,14,63,14_iscomplemented_coesup_supapply_abs,"['iscomplemented', 'coesup', 'supapply', 'abs', 'closuresupclosure', 'supequnion', 'lesupright', 'closuresupclosureright', 'lesupleft', 'mapsup']","['lemma sup_comm (a b : cau_seq α abs) : a ⊔ b = b ⊔ a', 'lemma le_sup_left {a b : cau_seq α abs} : a ≤ a ⊔ b', 'lemma sup_eq_right {a b : cau_seq α abs} (h : a ≤ b) :\n  a ⊔ b ≈ b']"
16,15,62,15_t1_t2_addlecancellable_lmodifynthtail,"['t1', 't2', 'addlecancellable', 'lmodifynthtail', 'vechead', 'e2', 'e1', 't2val', 'powsub', 'tsubeqiffeqaddofle']","['lemma lt_aux_2 {n : nat} (h : 0 < n) : n - 1 < n', 'lemma val_sub {v : nat → int} {t1 t2 : term} :\n(sub t1 t2).val v = t1.val v - t2.val v', 'lemma sub_subst {α} [ring α] {n e1 e2 t1 t2 : α} (h1 : n * e1 = t1) (h2 : n * e2 = t2) :\n      n * (e1 - e2) = t1 - t2']"
17,16,62,16_ici_ioi_setioi_nomaxorder,"['ici', 'ioi', 'setioi', 'nomaxorder', 'preimagecoeici', 'iciextend', 'coe', 'setici', 'pred', 'withbot']","['lemma Ioi_subset_Ici (h : a ≤ b) : Ioi b ⊆ Ici a', 'lemma Ioi_subset_Ici_iff [densely_ordered α] : Ioi b ⊆ Ici a ↔ a ≤ b', 'lemma Ici_diff_Ioi_same : Ici a \\ Ioi a = {a}']"
18,17,56,17_mulposstrictmono_posmulstrictmono_posmulmono_a0,"['mulposstrictmono', 'posmulstrictmono', 'posmulmono', 'a0', 'b0', 'ha', 'contravariantclass', 'covariantclass', 'mulltiffltoneleft', 'invltdiviffltmul']","['lemma mul_lt_mul_of_nonneg_of_pos [pos_mul_mono α] [mul_pos_strict_mono α]\n  (h₁ : a < b) (h₂ : c ≤ d) (a0 : 0 ≤ a) (d0 : 0 < d) : a * c < b * d', 'lemma lt_mul_iff_one_lt_right\n  [pos_mul_strict_mono α] [pos_mul_reflect_lt α]\n  (a0 : 0 < a) :\n  a < a * b ↔ 1 < b', 'lemma lt_mul_of_lt_of_one_lt_of_pos [pos_mul_strict_mono α] [mul_pos_strict_mono α]\n  (bc : b < c) (ha : 1 < a) (a0 : 0 < a) (b0 : 0 < b) : b < c * a']"
19,18,56,18_ytoset_uniondiffcancel_card_finset,"['ytoset', 'uniondiffcancel', 'card', 'finset', 'sdiffsdiffself', 'memofmemdiff', 'tosetsdiff', 'sdiffsingletoneqerase', 'uniondiffcancelleft', 'uniondiffcancelright']","['lemma subset_union_elim {s : finset α} {t₁ t₂ : set α} (h : ↑s ⊆ t₁ ∪ t₂) :\n  ∃ s₁ s₂ : finset α, s₁ ∪ s₂ = s ∧ ↑s₁ ⊆ t₁ ∧ ↑s₂ ⊆ t₂ \\ t₁', 'lemma card_sdiff_add_card_eq_card {s t : finset α} (h : s ⊆ t) : card (t \\ s) + card s = card t', 'lemma coe_sdiff (s₁ s₂ : finset α) : ↑(s₁ \\ s₂) = (s₁ \\ s₂ : set α)']"
20,19,56,19_compmk_picongrright_applicative_optiontraverse,"['compmk', 'picongrright', 'applicative', 'optiontraverse', 'iscommapplicative', 'mulzerooneclass', 'naturality', 'bmap', 'ihom', 'ms']","['lemma embedding_congr_apply_trans {α₁ β₁ γ₁ α₂ β₂ γ₂ : Sort*}\n  (ea : α₁ ≃ α₂) (eb : β₁ ≃ β₂) (ec : γ₁ ≃ γ₂) (f : α₁ ↪ β₁) (g : β₁ ↪ γ₁) :\n  equiv.embedding_congr ea ec (f.trans g) =\n  (equiv.embedding_congr ea eb f).trans (equiv.embedding_congr eb ec g)', 'lemma naturality {G H : Type* → Type*}\n                [applicative G] [applicative H]\n                [is_comm_applicative G] [is_comm_applicative H]\n                (eta : applicative_transformation G H)\n                {α β : Type*} (f : α → G β) (x : multiset α) :\n  eta (traverse f x) = traverse (@eta _ ∘ f) x', 'lemma Pi_congr_right_trans {η : Type*}\n  {Ms Ns Ps : η → Type*} [Π j, has_mul (Ms j)] [Π j, has_mul (Ns j)]\n  [Π j, has_mul (Ps j)]\n  (es : ∀ j, Ms j ≃* Ns j) (fs : ∀ j, Ns j ≃* Ps j) :\n  (Pi_congr_right es).trans (Pi_congr_right fs) = (Pi_congr_right $ λ i, (es i).trans (fs i))']"
21,20,55,20_bit0_bit1_nbit0_castbit1,"['bit0', 'bit1', 'nbit0', 'castbit1', 'castbit0', 'nbit1', 'rootbit0', 'semiring', 'nbits', 'bit1val']","['lemma bit0_le_bit1 (n m : ℕ+) : (bit0 n) ≤ (bit1 m) ↔ (bit0 (n : ℕ)) ≤ (bit1 (m : ℕ))', 'theorem lt_bit0_bit1 {α} [linear_ordered_semiring α] (a b : α) (h : a ≤ b) : bit0 a < bit1 b', 'theorem lt_bit1_bit0 {α} [linear_ordered_semiring α] (a b : α) (h : a + 1 ≤ b) : bit1 a < bit0 b']"
22,21,55,21_sentries_closure_rimage_t1,"['sentries', 'closure', 'rimage', 't1', 'eisimage', 'alist', 'memunion', 'closureunion', 'forallmemunion', 'mapunion']","['theorem mem_lookup_union {a} {b : β a} {s₁ s₂ : alist β} :\n  b ∈ lookup a (s₁ ∪ s₂) ↔ b ∈ lookup a s₁ ∨ a ∉ s₁ ∧ b ∈ lookup a s₂', 'lemma closure_union (s t : set M) : closure (s ∪ t) = closure s ⊔ closure t', 'lemma closure_union (s t : set M) : closure (s ∪ t) = closure s ⊔ closure t']"
23,22,53,22_fcomp_gcomp_infhom_compapply,"['fcomp', 'gcomp', 'infhom', 'compapply', 'compassoc', 'gwithtop', 'suphom', 'coecomp', 'hmn', 'latticehom']","['lemma sum_comp_inr {P Q R : D} (f : (inr P : C ⊕ D) ⟶ inr Q)\n  (g : (inr Q : C ⊕ D) ⟶ inr R) :\n  @category_struct.comp _ _ P Q R (f : P ⟶ Q) (g : Q ⟶ R) =\n  @category_struct.comp _ _ (inr P) (inr Q) (inr R) (f : P ⟶ Q) (g : Q ⟶ R)', 'lemma comp_apply (hnp : β →+* γ) (hmn : α →+* β) (x : α) : (hnp.comp hmn : α → γ) x =\n  (hnp (hmn x))', 'lemma coe_comp (hnp : β →+* γ) (hmn : α →+* β) : (hnp.comp hmn : α → γ) = hnp ∘ hmn']"
24,23,53,23_id_coeid_idapply_mapid,"['id', 'coeid', 'idapply', 'mapid', 'af', 'idcomp', 'pfunid', 'idmk', 'compid', 'compfunctor']","['lemma id_apply (x : M) :\n  @id R M _ _ _ x = x', 'lemma coe_one : ⇑(1 : r ≃r r) = id', 'lemma id_apply (x : R) : mul_semiring_action_hom.id M x = x']"
25,24,50,24_tonat_mkpnat_subnatnat_addnat,"['tonat', 'mkpnat', 'subnatnat', 'addnat', 'atonat', 'subnat', 'succpnat', 'ofnat', 'mknat', 'bitvecofnat']","['lemma of_nat_to_nat  {n : ℕ} (v : bitvec n) : bitvec.of_nat _ v.to_nat = v', 'lemma to_nat_lt {n : ℕ} (v : bitvec n) : v.to_nat < 2^n', 'theorem to_nat_of_nat {k n : ℕ}\n: bitvec.to_nat (bitvec.of_nat k n) = n % 2 ^ k']"
26,25,49,25_wellfounded_ltofinset_ttofinset_memtofinset,"['wellfounded', 'ltofinset', 'ttofinset', 'memtofinset', 'stofinset', 'irreducible', 'minfachelper', 'tofinsetunion', 'mtofinsetcard', 'wellfoundedlt']","['theorem irreducible_iff_prime {p : ℕ} : irreducible p ↔ _root_.prime p', 'theorem not_irreducible_one [monoid α] : ¬ irreducible (1 : α)', 'lemma associated.irreducible [monoid α] {p q : α} (h : p ~ᵤ q)\n  (hp : irreducible p) : irreducible q']"
27,26,49,26_diveqself_divself_hc_cancelcommmonoidwithzero,"['diveqself', 'divself', 'hc', 'cancelcommmonoidwithzero', 'diveqmulonediv', 'divadddiv', 'divrightinj', 'cardleone', 'mulnezero', 'onedivdiv']","['lemma mul_le_mul_right₀ (hc : c ≠ 0) : a * c ≤ b * c ↔ a ≤ b', 'lemma eq_div_iff_mul_eq (hc : c ≠ 0) : a = b / c ↔ a * c = b', 'lemma div_le_iff₀ (hc : c ≠ 0) : a / c ≤ b ↔ a ≤ b*c']"
28,27,48,27_quotient_quotmk_quotientmk_quot,"['quotient', 'quotmk', 'quotientmk', 'quot', 'iscoatom', 'setoidr', 'inductionon', 'setoid', 'eq', 'ker']","[""lemma induction_on₂' {p : quotient s₁ → quotient s₂ → Prop} (q₁ : quotient s₁)\n  (q₂ : quotient s₂) (h : ∀ a₁ a₂, p (quotient.mk' a₁) (quotient.mk' a₂)) : p q₁ q₂"", 'theorem quotient.rep_spec (q : quotient s) : ⟦q.rep⟧ = q', 'lemma induction_on₂\n   {φ : quotient s₁ → quotient s₂ → Prop} (q₁ : quotient s₁) (q₂ : quotient s₂) (h : ∀ a b, φ ⟦a⟧ ⟦b⟧) : φ q₁ q₂']"
29,28,47,28_gcd_sgcd_gcdmonoid_gcdmulright,"['gcd', 'sgcd', 'gcdmonoid', 'gcdmulright', 'gcdeqzeroiff', 'gcdcomm', 'gcda', 'gcdb', 'associated', 'gcdself']","['theorem gcd_comm (m n : ℕ) : gcd m n = gcd n m', 'theorem gcd_mul_left (m n k : ℕ) : gcd (m * n) (m * k) = m * gcd n k', 'theorem gcd_mul_right (m n k : ℕ) : gcd (m * n) (k * n) = gcd m k * n']"
30,29,47,29_serase_lerase_erase_terase,"['serase', 'lerase', 'erase', 'terase', 'lerasep', 'pa', 'merase', 'erasep', 'tsize', 'afind']","['theorem insert_erase {a : α} {s : finset α} (h : a ∈ s) : insert a (erase s a) = s', 'theorem insert_erase_subset (a : α) (s : finset α) : s ⊆ insert a (erase s a)', 'lemma erase_insert_eq_erase (s : finset α) (a : α) :\n  (insert a s).erase a = s.erase a']"
31,30,47,30_functioninjective_injective_leftinverse_mkinjective,"['functioninjective', 'injective', 'leftinverse', 'mkinjective', 'isassociative', 'coeinjective', 'isdomain', 'coefn', 'equivmap', 'uncurry']","['lemma coe_injective {α β} : @function.injective (α ↪ β) (α → β) coe_fn', 'lemma group_with_zero.mul_left_injective (h : x ≠ 0) :\n  function.injective (λ y, x * y)', 'lemma group_with_zero.mul_right_injective (h : x ≠ 0) :\n  function.injective (λ y, y * x)']"
32,31,46,31_withtop_coetop_boundedorder_hastop,"['withtop', 'coetop', 'boundedorder', 'hastop', 'nonemptyinterval', 'topmul', 'topapply', 'upperset', 'interval', 'topadd']","['lemma principal_top : principal (⊤ : P) = ⊤', 'lemma coe_top [bounded_order α] : ((⊤ : interval α) : set α) = univ', 'lemma coe_top_interval [bounded_order α] : ((⊤ : nonempty_interval α) : interval α) = ⊤']"
33,32,45,32_orderbot_coebot_botapply_hasbot,"['orderbot', 'coebot', 'botapply', 'hasbot', 'hbot', 'mker', 'complbot', 'lowerset', 'concept', 'hasle']","[""lemma coe_mker (f : F) : (mker f : set M) = (f : M → N) ⁻¹' {1}"", 'lemma mk_eq_bot_iff [order_bot α] [order_bot (subtype p)] (hbot : p ⊥) {x : α} (hx : p x) :\n  (⟨x, hx⟩ : subtype p) = ⊥ ↔ x = ⊥', 'lemma mk_bot [order_bot α] [order_bot (subtype p)] (hbot : p ⊥) : mk ⊥ hbot = ⊥']"
34,33,44,33_hassmul_addcommmonoid_module_coensmul,"['hassmul', 'addcommmonoid', 'module', 'coensmul', 'smulapply', 'supports', 'uprod', 'setlike', 'divisionsemiring', 'semiring']","['lemma map_inv_nat_cast_smul [add_comm_monoid M] [add_comm_monoid M₂] {F : Type*}\n  [add_monoid_hom_class F M M₂] (f : F)\n  (R S : Type*) [division_semiring R] [division_semiring S] [module R M] [module S M₂]\n  (n : ℕ) (x : M) :\n  f ((n⁻¹ : R) • x) = (n⁻¹ : S) • f x', 'lemma map_nat_cast_smul [add_comm_monoid M] [add_comm_monoid M₂] {F : Type*}\n  [add_monoid_hom_class F M M₂] (f : F)\n  (R S : Type*) [semiring R] [semiring S] [module R M] [module S M₂] (x : ℕ) (a : M) :\n  f ((x : R) • a) = (x : S) • f a', 'lemma map_smul_of_tower {R S : Type*} [semiring S] [has_smul R M]\n  [module S M] [has_smul R M₂] [module S M₂]\n  [compatible_smul M M₂ R S] (fₗ : M →ₗ[S] M₂) (c : R) (x : M) :\n  fₗ (c • x) = c • fₗ x']"
35,34,44,34_ioc_imagecoeioc_preimagecoeioc_pimulsingle,"['ioc', 'imagecoeioc', 'preimagecoeioc', 'pimulsingle', 'setioc', 'max', 'iic', 'memioc', 'nonemptyioc', 'pairwisedisjointioczpow']","['lemma smul_Ioc : r • Ioc a b = Ioc (r • a) (r • b)', ""lemma preimage_const_mul_Ioc (a b : α) {c : α} (h : 0 < c) :\n  ((*) c) ⁻¹' (Ioc a b) = Ioc (a / c) (b / c)"", 'lemma Ioc_subset_Ioc_right (h : b₁ ≤ b₂) : Ioc a b₁ ⊆ Ioc a b₂']"
36,35,44,35_icc_ordconnectedcomponent_seticc_projicc,"['icc', 'ordconnectedcomponent', 'seticc', 'projicc', 'iccextend', 'rightmemicc2', 'ordconnected', 'ordseparatingset', 'cicc', 'hx']","['lemma ord_connected_Icc {a b : α} : ord_connected (Icc a b)', 'lemma uIcc_of_ge (h : b ≤ a) : [a, b] = Icc b a', 'lemma mul_le_left {x y : Icc (0:α) 1} : x * y ≤ x']"
37,36,44,36_hasinv_coeinv_invdef_xdown,"['hasinv', 'coeinv', 'invdef', 'xdown', 'withzero', 'isfixedpt', 'ismonoidhom', 'ismulhom', 'commgroup', 'inv']","['lemma coe_inv {f : cau_seq β abv} (hf) : ⇑(inv f hf) = f⁻¹', 'lemma inv {α β} [has_mul α] [comm_group β] {f : α → β} (hf : is_mul_hom f) :\n  is_mul_hom (λ a, (f a)⁻¹)', 'lemma inv {α β} [mul_one_class α] [comm_group β] {f : α → β} (hf : is_monoid_hom f) :\n  is_monoid_hom (λ a, (f a)⁻¹)']"
38,37,43,37_unop_op_unmop_funop,"['unop', 'op', 'unmop', 'funop', 'mop', 'commsq', 'opunop', 'gunmop', 'coyonedaobj', 'lprodunop']","['lemma unop_id_op {X : C} : (𝟙 (op X)).unop = 𝟙 X', 'lemma unop_op (x : α) : unop (op x) = x', 'lemma op_unop {X Y : C} (f : X ≅ Y) : f.op.unop = f']"
39,38,43,38_ico_setico_dx_dy,"['ico', 'setico', 'dx', 'dy', 'mfilter', 'hln', 'icc', 'preimagecoeicotop', 'interconsecutive', 'preimageconstsubico']","[""lemma preimage_const_add_Ico : (λ x, a + x) ⁻¹' (Ico b c) = Ico (b - a) (c - a)"", 'lemma Ico_subset_Ico_left (h : a₁ ≤ a₂) : Ico a₂ b ⊆ Ico a₁ b', 'lemma inter_consecutive (n m l : ℕ) : Ico n m ∩ Ico m l = []']"
40,39,42,39_odd_even_oddadd_issquare,"['odd', 'even', 'oddadd', 'issquare', 'constvadd', 'oddiffnoteven', 'yslength', 'oddsub', 'oddneg', 'xdom']","['theorem odd_add : odd (m + n) ↔ (odd m ↔ even n)', ""theorem even_add' : even (m + n) ↔ (odd m ↔ odd n)"", ""theorem odd_sub' : odd (m - n) ↔ (odd n ↔ even m)""]"
41,40,42,40_gcomp_fdual_dualcomp_gdualcomp,"['gcomp', 'fdual', 'dualcomp', 'gdualcomp', 'completelatticehom', 'boundedorderhom', 'supbothom', 'inftophom', 'symmdualcomp', 'cancelleft']","['lemma cancel_left {g : bounded_order_hom β γ} {f₁ f₂ : bounded_order_hom α β} (hg : injective g) :\n  g.comp f₁ = g.comp f₂ ↔ f₁ = f₂', 'lemma cancel_left {g : inf_top_hom β γ} {f₁ f₂ : inf_top_hom α β} (hg : injective g) :\n  g.comp f₁ = g.comp f₂ ↔ f₁ = f₂', 'lemma cancel_left {g : frame_hom β γ} {f₁ f₂ : frame_hom α β} (hg : injective g) :\n  g.comp f₁ = g.comp f₂ ↔ f₁ = f₂']"
42,41,42,41_antitoneon_eqon_surjon_invfunon,"['antitoneon', 'eqon', 'surjon', 'invfunon', 'monotoneon', 'strictmonoon', 'hg', 'bijon', 'seqon', 'injon']","['lemma strict_anti.comp_strict_anti_on (hg : strict_anti g) (hf : strict_anti_on f s) :\n  strict_mono_on (g ∘ f) s', 'lemma monotone_on.antivary_on (hf : monotone_on f s) (hg : antitone_on g s) :\n  antivary_on f g s', ""lemma strict_mono_on.mul_monotone' (hf : strict_mono_on f s) (hg : monotone_on g s) :\n  strict_mono_on (λ x, f x * g x) s""]"
43,42,41,42_semilatticeinf_mapinf_coeinf_meminfiff,"['semilatticeinf', 'mapinf', 'coeinf', 'meminfiff', 'meminf', 'srel', 'continuous', 'iscomplemented', 'tropical', 'tcomap']","['lemma mk_inf_mk {a b : α} (ha : is_complemented a) (hb : is_complemented b) :\n  (⟨a, ha⟩ ⊓ ⟨b, hb⟩ : complementeds α) = ⟨a ⊓ b, ha.inf hb⟩', 'lemma inf_eq_add : ((⊓) : tropical R → tropical R → tropical R) = (+)', 'lemma inf_continuous (f g : α →o β) (hf : continuous f) (hg : continuous g) : continuous (f ⊓ g)']"
44,43,40,43_inf_bddbelow_snonempty_lecinfiff,"['inf', 'bddbelow', 'snonempty', 'lecinfiff', 'complinf', 'infdef', 'hs', 'sup', 'ne', 'hasinf']","['lemma Inf_mul : Inf (s * t) = Inf s * Inf t', 'theorem Inf_diff_singleton_top (s : set α) : Inf (s \\ {⊤}) = Inf s', 'theorem Inf_union {s t : set α} : Inf (s ∪ t) = Inf s ⊓ Inf t']"
45,44,40,44_mapneg_ta_negapply_coeneg,"['mapneg', 'ta', 'negapply', 'coeneg', 'smulneg', 'mapnegone', 'ps', 'ring', 'nonassocring', 'negempty']","['theorem mul_neg_pos {α} [ring α] (a b c : α) (h : a * b = c) : -a * b = -c', 'lemma subst_into_neg {α} [has_neg α] (a ta t : α) (pra : a = ta) (prt : -ta = t) : -a = t', ""lemma negate_pf {α} [ring α] {ps ps' : α} : (-1) * ps = ps' → -ps = ps'""]"
46,45,40,45_chainclosure_ub_succchain_lowerclosure,"['chainclosure', 'ub', 'succchain', 'lowerclosure', 'unionmono', 'npairwise', 'coesubset', 'set', 'cnonempty', 'ischain']","[""lemma preimage_subset_iff {A : set α} {B : set β} {f : α → β} :\n  f⁻¹' B ⊆ A ↔ (∀ a : α, f a ∈ B → a ∈ A)"", 'lemma zorn_subset_nonempty (S : set (set α))\n  (H : ∀ c ⊆ S, is_chain (⊆) c → c.nonempty → ∃ ub ∈ S, ∀ s ∈ c, s ⊆ ub) (x) (hx : x ∈ S) :\n  ∃ m ∈ S, x ⊆ m ∧ ∀ a ∈ S, m ⊆ a → a = m', 'lemma zorn_subset (S : set (set α)) (h : ∀ c ⊆ S, is_chain (⊆) c → ∃ ub ∈ S, ∀ s ∈ c, s ⊆ ub) :\n  ∃ m ∈ S, ∀ a ∈ S, m ⊆ a → a = m']"
47,46,39,46_iinsertnth_nth_isuccabove_insertnth,"['iinsertnth', 'nth', 'isuccabove', 'insertnth', 'llength', 'fin', 'lnth', 'removenthinsertnth', 'linth', 'contractnth']","['theorem nth_update_nth_eq (a : α) (n) (l : list α) :\n  nth (update_nth l n a) n = (λ _, a) <$> nth l n', 'theorem nth_modify_nth_eq (f : α → α) (n) (l : list α) :\n  nth (modify_nth f n l) n = f <$> nth l n', 'theorem nth_of_fn {n} (f : fin n → α) (i) :\n  nth (of_fn f) i = of_fn_nth_val f i']"
48,47,39,47_lpairwise_multiset_spairwise_ndunion,"['lpairwise', 'multiset', 'spairwise', 'ndunion', 'sinf', 'ndinsert', 'pairwise', 'nodup', 'multisetpairwise', 'card']","['theorem cons_ndunion (s t : multiset α) (a : α) :\n  ndunion (a ::ₘ s) t = ndinsert a (ndunion s t)', 'theorem ndunion_eq_union {s t : multiset α} (d : nodup s) : ndunion s t = s ∪ t', 'lemma nodup.ndunion (s : multiset α) {t : multiset α} : nodup t → nodup (ndunion s t)']"
